IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,26718 kB/s
47.242.17.250,2053,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,25572 kB/s
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,21696 kB/s
47.76.33.40,2087,TRUE,HKG,Asia Pacific,Hong Kong,86 ms,19798 kB/s
47.243.234.9,2096,TRUE,HKG,Asia Pacific,Hong Kong,87 ms,19449 kB/s
8.218.3.12,8443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,18756 kB/s
47.242.202.230,2053,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,18462 kB/s
8.217.147.230,2053,TRUE,HKG,Asia Pacific,Hong Kong,104 ms,16980 kB/s
8.210.156.6,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,16582 kB/s
47.76.33.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,92 ms,16480 kB/s
15.165.49.161,8080,TRUE,ICN,Asia Pacific,Seoul,97 ms,15496 kB/s
8.218.74.119,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,15049 kB/s
8.217.85.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,15028 kB/s
47.242.234.127,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,14954 kB/s
8.210.107.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,14909 kB/s
47.243.139.243,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,14749 kB/s
47.243.203.119,2083,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,14630 kB/s
8.218.142.253,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,14511 kB/s
47.242.171.94,8443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,14327 kB/s
47.243.139.85,2087,TRUE,HKG,Asia Pacific,Hong Kong,100 ms,13960 kB/s
47.243.206.150,2053,TRUE,HKG,Asia Pacific,Hong Kong,89 ms,13867 kB/s
47.76.32.108,2083,TRUE,HKG,Asia Pacific,Hong Kong,111 ms,13636 kB/s
8.210.207.214,2096,TRUE,HKG,Asia Pacific,Hong Kong,84 ms,13621 kB/s
47.242.79.71,2053,TRUE,HKG,Asia Pacific,Hong Kong,104 ms,13548 kB/s
47.242.79.71,2083,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,13272 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,99 ms,13221 kB/s
8.210.156.6,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,13049 kB/s
8.210.39.96,2083,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,12977 kB/s
47.242.79.71,2087,TRUE,HKG,Asia Pacific,Hong Kong,102 ms,12854 kB/s
8.217.145.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,86 ms,12783 kB/s
47.76.37.57,2083,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,12612 kB/s
47.76.32.108,2053,TRUE,HKG,Asia Pacific,Hong Kong,101 ms,12545 kB/s
47.243.234.9,8443,TRUE,HKG,Asia Pacific,Hong Kong,99 ms,12531 kB/s
47.243.86.79,2083,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,12175 kB/s
47.242.36.78,2053,TRUE,HKG,Asia Pacific,Hong Kong,79 ms,11961 kB/s
47.76.49.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,130 ms,11936 kB/s
47.242.17.250,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,11823 kB/s
8.210.119.11,2083,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,11817 kB/s
47.242.157.96,2083,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,11685 kB/s
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,11664 kB/s
47.243.203.119,2087,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,11531 kB/s
47.242.252.237,2087,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,11499 kB/s
47.243.5.154,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,11463 kB/s
47.242.54.157,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,11450 kB/s
8.218.143.10,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,11346 kB/s
8.210.175.109,2053,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,11326 kB/s
8.210.245.224,2053,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,11295 kB/s
47.243.86.79,2053,TRUE,HKG,Asia Pacific,Hong Kong,93 ms,11282 kB/s
8.210.3.24,8443,TRUE,HKG,Asia Pacific,Hong Kong,83 ms,11263 kB/s
47.243.139.85,2096,TRUE,HKG,Asia Pacific,Hong Kong,86 ms,11166 kB/s
47.76.33.40,2096,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,11140 kB/s
47.243.42.219,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,11127 kB/s
8.217.145.40,2087,TRUE,HKG,Asia Pacific,Hong Kong,105 ms,11069 kB/s
8.210.3.24,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,11066 kB/s
8.217.121.207,2087,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,11047 kB/s
47.76.159.146,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,10881 kB/s
47.243.5.154,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,10568 kB/s
47.243.42.219,2087,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,10515 kB/s
47.243.139.243,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,10465 kB/s
8.210.156.6,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,10336 kB/s
47.76.37.57,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,10307 kB/s
8.217.85.14,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,10290 kB/s
8.217.159.210,2087,TRUE,HKG,Asia Pacific,Hong Kong,93 ms,10096 kB/s
8.210.65.1,2083,TRUE,HKG,Asia Pacific,Hong Kong,102 ms,9996 kB/s
47.243.139.243,8443,TRUE,HKG,Asia Pacific,Hong Kong,80 ms,9944 kB/s
13.124.81.29,443,TRUE,ICN,Asia Pacific,Seoul,98 ms,9780 kB/s
47.242.79.71,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,9726 kB/s
47.76.159.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,9726 kB/s
47.243.203.119,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,9717 kB/s
8.218.74.119,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,9630 kB/s
8.218.74.119,8443,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,9610 kB/s
47.243.234.9,2083,TRUE,HKG,Asia Pacific,Hong Kong,134 ms,9596 kB/s
8.210.9.129,8443,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,9568 kB/s
8.217.232.246,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,9538 kB/s
